Date,Open,High,Low,Close,"MACD(12,26)",Sig(9)
1/29/1993,24.9646,24.9646,24.8404,24.9468,0,0
2/1/1993,24.9646,25.1243,24.9646,25.1243,0.0142,0.0028
2/2/1993,25.1065,25.1952,25.0533,25.1775,0.0293,0.0081
2/3/1993,25.213,25.4614,25.1952,25.4437,0.0621,0.0189
2/4/1993,25.5324,25.6033,25.4791,25.5501,0.0956,0.0343
2/5/1993,25.5324,25.5856,25.3904,25.5324,0.1193,0.0513
2/8/1993,25.5324,25.6211,25.4969,25.5324,0.1365,0.0683
2/9/1993,25.4437,25.4437,25.3017,25.3549,0.1343,0.0815
2/10/1993,25.3549,25.4082,25.284,25.3904,0.1339,0.092
2/11/1993,25.4259,25.6211,25.4259,25.5146,0.1419,0.102
2/12/1993,25.4791,25.4791,25.3195,25.3195,0.131,0.1078
2/16/1993,25.2485,25.2485,24.6452,24.6807,0.0701,0.1002
2/17/1993,24.6807,24.7162,24.5742,24.663,0.0201,0.0842
2/18/1993,24.9468,24.9468,24.2371,24.6452,-0.0207,0.0632
2/19/1993,24.6452,24.7339,24.6097,24.7339,-0.0454,0.0415
2/22/1993,24.8049,24.8581,24.7339,24.8226,-0.0571,0.0218
2/23/1993,24.8936,24.9114,24.6807,24.8049,-0.0671,0.004
2/24/1993,24.8226,25.1243,24.8226,25.1243,-0.0486,-0.0065
2/25/1993,25.1243,25.1952,25.0533,25.1775,-0.0294,-0.0111
2/26/1993,25.2307,25.2307,25.0888,25.213,-0.0111,-0.0111
3/1/1993,25.2307,25.284,25.1065,25.142,-0.0024,-0.0094
3/2/1993,25.1598,25.5146,25.1243,25.5146,0.0342,-0.0006
3/3/1993,25.5501,25.6388,25.5146,25.6211,0.071,0.0137
3/4/1993,25.6566,25.6566,25.4791,25.4791,0.0877,0.0285
3/5/1993,25.5146,25.6211,25.3904,25.4082,0.0941,0.0416
3/8/1993,25.4614,25.9759,25.4614,25.9759,0.1434,0.062
3/9/1993,25.9227,25.9405,25.834,25.8872,0.1733,0.0842
3/10/1993,25.8872,25.9405,25.7808,25.9405,0.1989,0.1072
3/11/1993,25.9582,26.0292,25.834,25.8695,0.2111,0.128
3/12/1993,25.6566,25.6743,25.4437,25.6033,0.197,0.1418
3/15/1993,25.5856,25.7275,25.5856,25.7275,0.1937,0.1522
3/16/1993,25.7275,25.7985,25.7275,25.7275,0.1888,0.1595
3/17/1993,25.6921,25.6921,25.5324,25.5679,0.1701,0.1616
3/18/1993,25.6743,25.834,25.6743,25.7275,0.1663,0.1625
3/19/1993,25.8313,25.8313,25.6887,25.6887,0.1583,0.1617
3/22/1993,25.4391,25.5996,25.4213,25.5461,0.1388,0.1571
3/23/1993,25.6174,25.6352,25.5639,25.5996,0.1263,0.1509
3/24/1993,25.5639,25.7065,25.4391,25.5996,0.115,0.1438
3/25/1993,25.6174,25.8135,25.5818,25.76,0.1176,0.1385
3/26/1993,25.7422,25.76,25.5996,25.6174,0.107,0.1322
3/29/1993,25.6352,25.8492,25.6352,25.7244,0.106,0.127
3/30/1993,25.76,25.7957,25.7244,25.7957,0.1097,0.1235
3/31/1993,25.867,25.9383,25.7779,25.7779,0.1099,0.1208
4/1/1993,25.8135,25.8135,25.6352,25.6887,0.1017,0.117
4/2/1993,25.4748,25.4748,25.1539,25.1539,0.0514,0.1039
4/5/1993,25.35,25.35,25.2074,25.2787,0.0214,0.0874
4/6/1993,25.3322,25.3322,25.1361,25.2074,-0.008,0.0683
4/7/1993,25.243,25.2965,25.1896,25.2965,-0.0239,0.0499
4/8/1993,25.4035,25.4035,25.1539,25.2609,-0.0389,0.0321
4/12/1993,25.5105,25.6352,25.4748,25.6174,-0.0217,0.0214
4/13/1993,25.5996,25.76,25.5818,25.6709,-0.0038,0.0163
4/14/1993,25.6887,25.7065,25.6174,25.6352,0.0075,0.0146
4/15/1993,25.6174,25.6887,25.5283,25.6352,0.0162,0.0149
4/16/1993,25.6531,25.6887,25.5996,25.6352,0.0229,0.0165
4/19/1993,25.6352,25.7065,25.5105,25.5283,0.0193,0.017
4/20/1993,25.4926,25.5283,25.243,25.4035,0.0063,0.0149
4/21/1993,25.457,25.457,25.3144,25.3857,-0.0054,0.0108
4/22/1993,25.2787,25.4926,25.0648,25.0648,-0.04,0.0007
4/23/1993,25.0113,25.0826,24.9222,24.9578,-0.0753,-0.0145
4/26/1993,24.9756,25.0648,24.6904,24.7617,-0.1177,-0.0351
4/27/1993,24.7261,25.0291,24.7261,25.0291,-0.1282,-0.0538
4/28/1993,24.9935,25.0469,24.94,24.9756,-0.1393,-0.0709
4/29/1993,25.0291,25.0826,24.8865,25.0826,-0.1378,-0.0843
4/30/1993,25.1717,25.2609,25.1183,25.1183,-0.1323,-0.0939
5/3/1993,25.1004,25.2787,25.0469,25.2787,-0.1136,-0.0978
5/4/1993,25.3322,25.457,25.2965,25.3678,-0.0906,-0.0964
5/5/1993,25.3678,25.5283,25.3678,25.4391,-0.0658,-0.0903
5/6/1993,25.4035,25.4213,25.3322,25.35,-0.0528,-0.0828
5/7/1993,25.3678,25.3678,25.2609,25.2965,-0.0463,-0.0755
5/10/1993,25.3322,25.4926,25.3322,25.35,-0.0363,-0.0676
5/11/1993,25.35,25.457,25.2787,25.457,-0.0196,-0.058
5/12/1993,25.35,25.4391,25.35,25.4213,-0.0091,-0.0483
5/13/1993,25.3144,25.3144,25.1004,25.1183,-0.025,-0.0436
5/14/1993,25.1183,25.1896,25.0826,25.1004,-0.0386,-0.0426
5/17/1993,25.1717,25.1896,25.0648,25.1896,-0.0416,-0.0424
5/18/1993,25.2074,25.2252,25.0826,25.1717,-0.045,-0.0429
5/19/1993,25.1717,25.6887,25.0113,25.6887,-0.0059,-0.0355
5/20/1993,25.6887,25.76,25.6352,25.76,0.0305,-0.0223
5/21/1993,25.7779,25.8135,25.5105,25.5283,0.0402,-0.0098
5/24/1993,25.5818,25.7244,25.5818,25.6352,0.0559,0.0033
5/25/1993,25.7422,25.7422,25.6887,25.6887,0.0718,0.017
5/26/1993,25.7779,26.0274,25.7422,26.0096,0.109,0.0354
5/27/1993,26.0453,26.0453,25.8848,25.9205,0.1299,0.0543
5/28/1993,25.9026,25.9026,25.6709,25.7957,0.1347,0.0704
6/1/1993,25.8848,26.1344,25.8492,26.0453,0.1569,0.0877
6/2/1993,25.974,26.0987,25.867,26.0096,0.1697,0.1041
6/3/1993,25.9561,25.9561,25.867,25.9205,0.1706,0.1174
6/4/1993,25.8492,25.8492,25.7244,25.8313,0.1623,0.1264
6/7/1993,25.8848,25.8848,25.7422,25.7422,0.1469,0.1305
6/8/1993,25.6709,25.6709,25.5105,25.5105,0.1146,0.1273
6/9/1993,25.5996,25.7065,25.5639,25.5996,0.0951,0.1209
6/10/1993,25.5818,25.6352,25.5283,25.6174,0.0802,0.1127
6/11/1993,25.7065,25.76,25.6174,25.7244,0.0761,0.1054
6/14/1993,25.76,25.7779,25.6887,25.6887,0.0692,0.0982
6/15/1993,25.7244,25.7422,25.6352,25.6352,0.0587,0.0903
6/16/1993,25.6352,25.6887,25.5639,25.6887,0.0541,0.083
6/17/1993,25.7422,25.7779,25.6887,25.7779,0.057,0.0778
6/18/1993,25.7631,25.7631,25.5656,25.5656,0.0417,0.0706
6/21/1993,25.6374,25.6374,25.5835,25.6195,0.0335,0.0632
6/22/1993,25.6554,25.6554,25.6015,25.6374,0.0281,0.0562
6/23/1993,25.6374,25.6374,25.5117,25.5297,0.015,0.0479
6/24/1993,25.4758,25.7451,25.4758,25.7451,0.0218,0.0427
6/25/1993,25.7272,25.799,25.7092,25.7272,0.0254,0.0392
6/28/1993,25.8528,26.0144,25.8169,26.0144,0.0508,0.0416
6/29/1993,25.9785,25.9785,25.8528,25.8888,0.0602,0.0453
6/30/1993,25.9247,25.9785,25.8528,25.8888,0.0668,0.0496
7/1/1993,25.9247,25.9247,25.781,25.8169,0.0655,0.0528
7/2/1993,25.7272,25.7451,25.5835,25.6733,0.0523,0.0527
7/6/1993,25.6374,25.7092,25.3681,25.404,0.0198,0.0461
7/7/1993,25.3861,25.5117,25.3861,25.4758,-0.0001,0.0369
7/8/1993,25.4938,25.8169,25.4579,25.7631,0.0072,0.0309
7/9/1993,25.7631,25.8349,25.7092,25.8349,0.0186,0.0285
7/12/1993,25.799,25.8349,25.7631,25.8169,0.0259,0.0279
7/13/1993,25.8349,25.9067,25.6554,25.799,0.0298,0.0283
7/14/1993,25.8169,25.9965,25.799,25.8888,0.0398,0.0306
7/15/1993,25.8708,25.8708,25.7272,25.781,0.0385,0.0322
7/16/1993,25.799,25.8169,25.6733,25.7092,0.0314,0.032
7/19/1993,25.7092,25.7092,25.6195,25.6913,0.024,0.0304
7/20/1993,25.6733,25.7631,25.5476,25.7631,0.0236,0.0291
7/21/1993,25.7272,25.7451,25.6554,25.7451,0.0216,0.0276
7/22/1993,25.7092,25.7451,25.5656,25.5656,0.0055,0.0232
7/23/1993,25.6195,25.6913,25.6015,25.6913,0.0029,0.0191
7/26/1993,25.7631,25.8888,25.7631,25.8349,0.0122,0.0177
7/27/1993,25.8528,25.8708,25.7272,25.8169,0.018,0.0178
7/28/1993,25.7631,25.8169,25.7092,25.7631,0.018,0.0178
7/29/1993,25.8169,25.9785,25.781,25.9067,0.0292,0.0201
7/30/1993,25.9067,25.9067,25.7272,25.7631,0.0262,0.0213
8/2/1993,25.799,25.9247,25.799,25.8349,0.0293,0.0229
8/3/1993,25.8888,25.9606,25.7631,25.8528,0.0329,0.0249
8/4/1993,25.8528,25.9067,25.781,25.8528,0.0353,0.027
8/5/1993,25.8528,25.8528,25.7631,25.799,0.0324,0.0281
8/6/1993,25.8708,25.8888,25.799,25.8349,0.0327,0.029
8/9/1993,25.9067,26.0503,25.8528,25.9785,0.044,0.032
8/10/1993,25.9606,25.9785,25.9247,25.9606,0.0509,0.0358
8/11/1993,25.9426,26.0324,25.9426,25.9606,0.0558,0.0398
8/12/1993,26.0324,26.0324,25.799,25.8888,0.0532,0.0425
8/13/1993,25.9067,25.9426,25.9067,25.9247,0.0535,0.0447
8/16/1993,25.9426,26.1401,25.9426,26.0683,0.0645,0.0486
